file_id,file_keyword,importance_score,importance_label
L00096,contract,5,Medium
L00097,bond,2,Low
L00099,non disclosure,1,Low
L00100,non-disclosure,8,High
L00101,terms and conditions,5,Medium
L00102,terms & conditions,7,Medium
L00103,t&c,5,Medium
L00104,legal notice,1,Low
L00105,affidavit,1,Low
L00106,court,4,Medium
L00107,case,3,Low
L00108,lawyer,3,Low
L00109,attorney,4,Medium
L00110,clause,9,High
L00111,deed,2,Low
L00112,lease,7,Medium
L00113,rental,2,Low
L00114,jurisdiction,6,Medium
L00115,liability,10,High
L00116,indemnity,3,Low
L00117,settlement,3,Low
L00118,arbitration,8,High
L00119,lawsuit,7,Medium
L00120,litigation,5,Medium
L00121,plaintiff,6,Medium
L00122,defendant,6,Medium
L00123,verdict,10,High
L00124,judgment,5,Medium
L00125,witness,2,Low
L00126,testimony,8,High
L00127,subpoena,10,High
L00128,summons,2,Low
L00129,petition,6,Medium
L00130,memorandum,10,High
L00131,mou,2,Low
L00132,legal document,1,Low
L00133,hereby,8,High
L00134,whereas,5,Medium
L00135,aforementioned,9,High
L00136,undersigned,8,High
L00137,party of,1,Low
L00138,in witness whereof,10,High
L00139,executed,4,Medium
L00140,notary,4,Medium
L00141,undertaking,3,Low
L00143,contract,3,Low
L00144,bond,6,Medium
L00146,non disclosure,6,Medium
L00147,non-disclosure,5,Medium
L00148,terms and conditions,10,High
L00149,terms & conditions,8,High
L00150,t&c,4,Medium
L00151,legal notice,8,High
L00152,affidavit,2,Low
L00153,court,1,Low
L00154,case,8,High
L00155,lawyer,1,Low
L00156,attorney,2,Low
L00157,clause,3,Low
L00158,deed,4,Medium
L00159,lease,3,Low
L00160,rental,1,Low
L00161,jurisdiction,8,High
L00162,liability,6,Medium
L00163,indemnity,9,High
L00164,settlement,4,Medium
L00165,arbitration,3,Low
L00166,lawsuit,2,Low
L00167,litigation,6,Medium
L00168,plaintiff,8,High
L00169,defendant,10,High
L00170,verdict,4,Medium
L00171,judgment,9,High
L00172,witness,2,Low
L00173,testimony,3,Low
L00174,subpoena,1,Low
L00175,summons,1,Low
L00176,petition,3,Low
L00177,memorandum,2,Low
L00178,mou,5,Medium
L00179,legal document,5,Medium
L00180,hereby,1,Low
L00181,whereas,9,High
L00182,aforementioned,3,Low
L00183,undersigned,10,High
L00184,party of,3,Low
L00185,in witness whereof,3,Low
L00186,executed,9,High
L00187,notary,1,Low
L00188,undertaking,4,Medium
L00190,contract,2,Low
L00191,bond,3,Low
L00193,non disclosure,2,Low
L00194,non-disclosure,5,Medium
L00195,terms and conditions,4,Medium
L00196,terms & conditions,1,Low
L00197,t&c,8,High
L00198,legal notice,3,Low
L00199,affidavit,8,High
L00200,court,8,High
L00201,case,2,Low
L00202,lawyer,6,Medium
L00203,attorney,4,Medium
L00204,clause,3,Low
L00205,deed,6,Medium
L00206,lease,3,Low
L00207,rental,2,Low
L00208,jurisdiction,1,Low
L00209,liability,7,Medium
L00210,indemnity,10,High
L00211,settlement,8,High
L00212,arbitration,3,Low
L00213,lawsuit,3,Low
L00214,litigation,3,Low
L00215,plaintiff,8,High
L00216,defendant,6,Medium
L00217,verdict,10,High
L00218,judgment,3,Low
L00219,witness,3,Low
L00220,testimony,5,Medium
L00221,subpoena,10,High
L00222,summons,9,High
L00223,petition,1,Low
L00224,memorandum,3,Low
L00225,mou,3,Low
L00226,legal document,8,High
L00227,hereby,8,High
L00228,whereas,3,Low
L00229,aforementioned,9,High
L00230,undersigned,1,Low
L00231,party of,10,High
L00232,in witness whereof,8,High
L00233,executed,2,Low
L00234,notary,1,Low
L00235,undertaking,9,High
L00237,contract,3,Low
L00238,bond,8,High
L00240,non disclosure,8,High
L00241,non-disclosure,3,Low
L00242,terms and conditions,7,Medium
L00243,terms & conditions,2,Low
L00244,t&c,10,High
L00245,legal notice,10,High
L00246,affidavit,3,Low
L00247,court,9,High
L00248,case,3,Low
L00249,lawyer,3,Low
L00250,attorney,10,High
L00251,clause,2,Low
L00252,deed,9,High
L00253,lease,9,High
L00254,rental,4,Medium
L00255,jurisdiction,8,High
L00256,liability,3,Low
L00257,indemnity,8,High
L00258,settlement,1,Low
L00259,arbitration,8,High
L00260,lawsuit,9,High
L00261,litigation,10,High
L00262,plaintiff,3,Low
L00263,defendant,10,High
L00264,verdict,4,Medium
L00265,judgment,4,Medium
L00266,witness,6,Medium
L00267,testimony,3,Low
L00268,subpoena,9,High
L00269,summons,3,Low
L00270,petition,9,High
L00271,memorandum,1,Low
L00272,mou,4,Medium
L00273,legal document,9,High
L00274,hereby,3,Low
L00275,whereas,6,Medium
L00276,aforementioned,1,Low
L00277,undersigned,2,Low
L00278,party of,4,Medium
L00279,in witness whereof,9,High
L00280,executed,2,Low
L00281,notary,10,High
L00282,undertaking,8,High
L00284,contract,3,Low
L00285,bond,1,Low
L00287,non disclosure,4,Medium
L00288,non-disclosure,5,Medium
L00289,terms and conditions,10,High
L00290,terms & conditions,7,Medium
L00291,t&c,4,Medium
L00292,legal notice,2,Low
L00293,affidavit,9,High
L00294,court,9,High
L00295,case,4,Medium
L00296,lawyer,5,Medium
L00297,attorney,2,Low
L00298,clause,3,Low
L00299,deed,4,Medium
L00300,lease,5,Medium
L00301,rental,2,Low
L00302,jurisdiction,10,High
L00303,liability,6,Medium
L00304,indemnity,1,Low
L00305,settlement,7,Medium
L00306,arbitration,10,High
L00307,lawsuit,8,High
L00308,litigation,8,High
L00309,plaintiff,9,High
L00310,defendant,10,High
L00311,verdict,10,High
L00312,judgment,5,Medium
L00313,witness,3,Low
L00314,testimony,8,High
L00315,subpoena,3,Low
L00316,summons,7,Medium
L00317,petition,2,Low
L00318,memorandum,9,High
L00319,mou,7,Medium
L00320,legal document,3,Low
L00321,hereby,9,High
L00322,whereas,3,Low
L00323,aforementioned,2,Low
L00324,undersigned,3,Low
L00325,party of,4,Medium
L00326,in witness whereof,10,High
L00327,executed,9,High
L00328,notary,4,Medium
L00329,undertaking,9,High
L00331,contract,3,Low
L00332,bond,3,Low
L00334,non disclosure,2,Low
L00335,non-disclosure,1,Low
L00336,terms and conditions,2,Low
L00337,terms & conditions,10,High
L00338,t&c,1,Low
L00339,legal notice,10,High
L00340,affidavit,6,Medium
L00341,court,2,Low
L00342,case,10,High
L00343,lawyer,3,Low
L00344,attorney,3,Low
L00345,clause,5,Medium
L00346,deed,10,High
L00347,lease,8,High
L00348,rental,3,Low
L00349,jurisdiction,9,High
L00350,liability,10,High
L00351,indemnity,10,High
L00352,settlement,6,Medium
L00353,arbitration,2,Low
L00354,lawsuit,9,High
L00355,litigation,10,High
L00356,plaintiff,6,Medium
L00357,defendant,3,Low
L00358,verdict,2,Low
L00359,judgment,8,High
L00360,witness,9,High
L00361,testimony,5,Medium
L00362,subpoena,9,High
L00363,summons,1,Low
L00364,petition,7,Medium
L00365,memorandum,9,High
L00366,mou,10,High
L00367,legal document,7,Medium
L00368,hereby,9,High
L00369,whereas,4,Medium
L00370,aforementioned,10,High
L00371,undersigned,8,High
L00372,party of,5,Medium
L00373,in witness whereof,4,Medium
L00374,executed,1,Low
L00375,notary,8,High
L00376,undertaking,7,Medium
L00378,contract,7,Medium
L00379,bond,3,Low
L00381,non disclosure,8,High
L00382,non-disclosure,10,High
L00383,terms and conditions,3,Low
L00384,terms & conditions,8,High
L00385,t&c,2,Low
L00386,legal notice,5,Medium
L00387,affidavit,8,High
L00388,court,4,Medium
L00389,case,9,High
L00390,lawyer,9,High
L00391,attorney,2,Low
L00392,clause,5,Medium
L00393,deed,10,High
L00394,lease,4,Medium
L00395,rental,1,Low
L00396,jurisdiction,1,Low
L00397,liability,1,Low
L00398,indemnity,6,Medium
L00399,settlement,9,High
L00400,arbitration,7,Medium
L00401,lawsuit,2,Low
L00402,litigation,2,Low
L00403,plaintiff,8,High
L00404,defendant,1,Low
L00405,verdict,6,Medium
L00406,judgment,4,Medium
L00407,witness,8,High
L00408,testimony,10,High
L00409,subpoena,2,Low
L00410,summons,8,High
L00411,petition,1,Low
L00412,memorandum,3,Low
L00413,mou,3,Low
L00414,legal document,10,High
L00415,hereby,5,Medium
L00416,whereas,3,Low
L00417,aforementioned,9,High
L00418,undersigned,4,Medium
L00419,party of,1,Low
L00420,in witness whereof,10,High
L00421,executed,8,High
L00422,notary,8,High
L00423,undertaking,7,Medium
L00425,contract,9,High
L00426,bond,9,High
L00428,non disclosure,2,Low
L00429,non-disclosure,3,Low
L00430,terms and conditions,4,Medium
L00431,terms & conditions,7,Medium
L00432,t&c,3,Low
L00433,legal notice,4,Medium
L00434,affidavit,2,Low
L00435,court,2,Low
L00436,case,1,Low
L00437,lawyer,2,Low
L00438,attorney,10,High
L00439,clause,5,Medium
L00440,deed,8,High
L00441,lease,3,Low
L00442,rental,9,High
L00443,jurisdiction,3,Low
L00444,liability,5,Medium
L00445,indemnity,3,Low
L00446,settlement,10,High
L00447,arbitration,9,High
L00448,lawsuit,3,Low
L00449,litigation,1,Low
L00450,plaintiff,1,Low
L00451,defendant,1,Low
L00452,verdict,2,Low
L00453,judgment,2,Low
L00454,witness,2,Low
L00455,testimony,10,High
L00456,subpoena,10,High
L00457,summons,2,Low
L00458,petition,9,High
L00459,memorandum,1,Low
L00460,mou,9,High
L00461,legal document,3,Low
L00462,hereby,6,Medium
L00463,whereas,3,Low
L00464,aforementioned,10,High
L00465,undersigned,5,Medium
L00466,party of,9,High
L00467,in witness whereof,3,Low
L00468,executed,8,High
L00469,notary,2,Low
L00470,undertaking,3,Low
L00472,contract,7,Medium
L00473,bond,7,Medium
L00475,non disclosure,5,Medium
L00476,non-disclosure,10,High
L00477,terms and conditions,2,Low
L00478,terms & conditions,6,Medium
L00479,t&c,10,High
L00480,legal notice,3,Low
L00481,affidavit,7,Medium
L00482,court,3,Low
L00483,case,5,Medium
L00484,lawyer,6,Medium
L00485,attorney,1,Low
L00486,clause,10,High
L00487,deed,1,Low
L00488,lease,2,Low
L00489,rental,1,Low
L00490,jurisdiction,5,Medium
L00491,liability,7,Medium
L00492,indemnity,1,Low
L00493,settlement,4,Medium
L00494,arbitration,6,Medium
L00495,lawsuit,7,Medium
L00496,litigation,10,High
L00497,plaintiff,2,Low
L00498,defendant,1,Low
L00499,verdict,5,Medium
L00500,judgment,5,Medium
L00501,witness,6,Medium
L00502,testimony,8,High
L00503,subpoena,8,High
L00504,summons,5,Medium
L00505,petition,9,High
L00506,memorandum,9,High
L00507,mou,3,Low
L00508,legal document,8,High
L00509,hereby,9,High
L00510,whereas,3,Low
L00511,aforementioned,10,High
L00512,undersigned,9,High
L00513,party of,3,Low
L00514,in witness whereof,4,Medium
L00515,executed,6,Medium
L00516,notary,5,Medium
L00517,undertaking,10,High
L00519,contract,1,Low
L00520,bond,10,High
L00522,non disclosure,1,Low
L00523,non-disclosure,9,High
L00524,terms and conditions,8,High
L00525,terms & conditions,8,High
L00526,t&c,9,High
L00527,legal notice,4,Medium
L00528,affidavit,1,Low
L00529,court,7,Medium
L00530,case,9,High
L00531,lawyer,8,High
L00532,attorney,2,Low
L00533,clause,4,Medium
L00534,deed,7,Medium
L00535,lease,8,High
L00536,rental,6,Medium
L00537,jurisdiction,5,Medium
L00538,liability,1,Low
L00539,indemnity,4,Medium
L00540,settlement,10,High
L00541,arbitration,1,Low
L00542,lawsuit,3,Low
L00543,litigation,3,Low
L00544,plaintiff,8,High
L00545,defendant,9,High
L00546,verdict,5,Medium
L00547,judgment,10,High
L00548,witness,6,Medium
L00549,testimony,1,Low
L00550,subpoena,3,Low
L00551,summons,8,High
L00552,petition,4,Medium
L00553,memorandum,6,Medium
L00554,mou,4,Medium
L00555,legal document,2,Low
L00556,hereby,8,High
L00557,whereas,2,Low
L00558,aforementioned,7,Medium
L00559,undersigned,9,High
L00560,party of,1,Low
L00561,in witness whereof,9,High
L00562,executed,6,Medium
L00563,notary,5,Medium
L00564,undertaking,1,Low
L00566,contract,2,Low
L00567,bond,3,Low
L00569,non disclosure,2,Low
L00570,non-disclosure,8,High
L00571,terms and conditions,8,High
L00572,terms & conditions,4,Medium
L00573,t&c,5,Medium
L00574,legal notice,7,Medium
L00575,affidavit,1,Low
L00576,court,8,High
L00577,case,5,Medium
L00578,lawyer,1,Low
L00579,attorney,3,Low
L00580,clause,10,High
L00581,deed,1,Low
L00582,lease,2,Low
L00583,rental,1,Low
L00584,jurisdiction,1,Low
L00585,liability,5,Medium
L00586,indemnity,7,Medium
L00587,settlement,3,Low
L00588,arbitration,2,Low
L00589,lawsuit,10,High
L00590,litigation,1,Low
L00591,plaintiff,2,Low
L00592,defendant,9,High
L00593,verdict,3,Low
L00594,judgment,3,Low
L00595,witness,6,Medium
L00596,testimony,9,High
L00597,subpoena,8,High
L00598,summons,4,Medium
L00599,petition,6,Medium
L00600,memorandum,5,Medium
L00601,mou,3,Low
L00602,legal document,9,High
L00603,hereby,10,High
L00604,whereas,3,Low
L00605,aforementioned,8,High
L00606,undersigned,7,Medium
L00607,party of,1,Low
L00608,in witness whereof,9,High
L00609,executed,4,Medium
L00610,notary,10,High
L00611,undertaking,4,Medium
L00613,contract,6,Medium
L00614,bond,10,High
L00616,non disclosure,7,Medium
L00617,non-disclosure,10,High
L00618,terms and conditions,10,High
L00619,terms & conditions,4,Medium
L00620,t&c,5,Medium
L00621,legal notice,5,Medium
L00622,affidavit,1,Low
L00623,court,7,Medium
L00624,case,2,Low
L00625,lawyer,1,Low
L00626,attorney,4,Medium
L00627,clause,3,Low
L00628,deed,2,Low
L00629,lease,4,Medium
L00630,rental,5,Medium
L00631,jurisdiction,3,Low
L00632,liability,2,Low
L00633,indemnity,4,Medium
L00634,settlement,8,High
L00635,arbitration,5,Medium
L00636,lawsuit,2,Low
L00637,litigation,10,High
L00638,plaintiff,9,High
L00639,defendant,9,High
L00640,verdict,3,Low
L00641,judgment,5,Medium
L00642,witness,4,Medium
L00643,testimony,3,Low
L00644,subpoena,7,Medium
L00645,summons,8,High
L00646,petition,2,Low
L00647,memorandum,9,High
L00648,mou,6,Medium
L00649,legal document,7,Medium
L00650,hereby,8,High
L00651,whereas,2,Low
L00652,aforementioned,4,Medium
L00653,undersigned,5,Medium
L00654,party of,3,Low
L00655,in witness whereof,9,High
L00656,executed,3,Low
L00657,notary,8,High
L00658,undertaking,9,High
L00660,contract,5,Medium
L00661,bond,5,Medium
L00663,non disclosure,8,High
L00664,non-disclosure,1,Low
L00665,terms and conditions,7,Medium
L00666,terms & conditions,2,Low
L00667,t&c,6,Medium
L00668,legal notice,6,Medium
L00669,affidavit,2,Low
L00670,court,7,Medium
L00671,case,10,High
L00672,lawyer,10,High
L00673,attorney,9,High
L00674,clause,7,Medium
L00675,deed,8,High
L00676,lease,8,High
L00677,rental,4,Medium
L00678,jurisdiction,7,Medium
L00679,liability,9,High
L00680,indemnity,4,Medium
L00681,settlement,6,Medium
L00682,arbitration,10,High
L00683,lawsuit,6,Medium
L00684,litigation,3,Low
L00685,plaintiff,2,Low
L00686,defendant,1,Low
L00687,verdict,10,High
L00688,judgment,2,Low
L00689,witness,9,High
L00690,testimony,10,High
L00691,subpoena,7,Medium
L00692,summons,5,Medium
L00693,petition,7,Medium
L00694,memorandum,3,Low
L00695,mou,5,Medium
L00696,legal document,3,Low
L00697,hereby,6,Medium
L00698,whereas,5,Medium
L00699,aforementioned,8,High
L00700,undersigned,9,High
L00701,party of,3,Low
L00702,in witness whereof,7,Medium
L00703,executed,3,Low
L00704,notary,3,Low
L00705,undertaking,2,Low
L00707,contract,10,High
L00708,bond,6,Medium
L00710,non disclosure,9,High
L00711,non-disclosure,5,Medium
L00712,terms and conditions,8,High
L00713,terms & conditions,10,High
L00714,t&c,2,Low
L00715,legal notice,2,Low
L00716,affidavit,9,High
L00717,court,3,Low
L00718,case,7,Medium
L00719,lawyer,8,High
L00720,attorney,9,High
L00721,clause,7,Medium
L00722,deed,6,Medium
L00723,lease,3,Low
L00724,rental,6,Medium
L00725,jurisdiction,10,High
L00726,liability,8,High
L00727,indemnity,10,High
L00728,settlement,4,Medium
L00729,arbitration,9,High
L00730,lawsuit,7,Medium
L00731,litigation,5,Medium
L00732,plaintiff,3,Low
L00733,defendant,8,High
L00734,verdict,4,Medium
L00735,judgment,1,Low
L00736,witness,4,Medium
L00737,testimony,2,Low
L00738,subpoena,2,Low
L00739,summons,6,Medium
L00740,petition,6,Medium
L00741,memorandum,3,Low
L00742,mou,3,Low
L00743,legal document,9,High
L00744,hereby,6,Medium
L00745,whereas,5,Medium
L00746,aforementioned,7,Medium
L00747,undersigned,4,Medium
L00748,party of,4,Medium
L00749,in witness whereof,8,High
L00750,executed,9,High
L00751,notary,1,Low
L00752,undertaking,5,Medium
L00754,contract,4,Medium
L00755,bond,7,Medium
L00757,non disclosure,6,Medium
L00758,non-disclosure,8,High
L00759,terms and conditions,3,Low
L00760,terms & conditions,9,High
L00761,t&c,7,Medium
L00762,legal notice,4,Medium
L00763,affidavit,7,Medium
L00764,court,2,Low
L00765,case,6,Medium
L00766,lawyer,6,Medium
L00767,attorney,6,Medium
L00768,clause,10,High
L00769,deed,7,Medium
L00770,lease,7,Medium
L00771,rental,7,Medium
L00772,jurisdiction,6,Medium
L00773,liability,6,Medium
L00774,indemnity,1,Low
L00775,settlement,8,High
L00776,arbitration,6,Medium
L00777,lawsuit,1,Low
L00778,litigation,7,Medium
L00779,plaintiff,3,Low
L00780,defendant,3,Low
L00781,verdict,6,Medium
L00782,judgment,8,High
L00783,witness,9,High
L00784,testimony,1,Low
L00785,subpoena,10,High
L00786,summons,5,Medium
L00787,petition,8,High
L00788,memorandum,5,Medium
L00789,mou,9,High
L00790,legal document,5,Medium
L00791,hereby,10,High
L00792,whereas,10,High
L00793,aforementioned,6,Medium
L00794,undersigned,5,Medium
L00795,party of,1,Low
L00796,in witness whereof,5,Medium
L00797,executed,3,Low
L00798,notary,10,High
L00799,undertaking,3,Low
L00801,contract,8,High
L00802,bond,8,High
L00804,non disclosure,7,Medium
L00805,non-disclosure,4,Medium
L00806,terms and conditions,8,High
L00807,terms & conditions,10,High
L00808,t&c,6,Medium
L00809,legal notice,5,Medium
L00810,affidavit,3,Low
L00811,court,1,Low
L00812,case,10,High
L00813,lawyer,6,Medium
L00814,attorney,5,Medium
L00815,clause,5,Medium
L00816,deed,1,Low
L00817,lease,4,Medium
L00818,rental,9,High
L00819,jurisdiction,6,Medium
L00820,liability,8,High
L00821,indemnity,3,Low
L00822,settlement,1,Low
L00823,arbitration,3,Low
L00824,lawsuit,9,High
L00825,litigation,8,High
L00826,plaintiff,10,High
L00827,defendant,5,Medium
L00828,verdict,1,Low
L00829,judgment,1,Low
L00830,witness,9,High
L00831,testimony,9,High
L00832,subpoena,4,Medium
L00833,summons,4,Medium
L00834,petition,7,Medium
L00835,memorandum,5,Medium
L00836,mou,7,Medium
L00837,legal document,9,High
L00838,hereby,2,Low
L00839,whereas,10,High
L00840,aforementioned,5,Medium
L00841,undersigned,5,Medium
L00842,party of,4,Medium
L00843,in witness whereof,5,Medium
L00844,executed,10,High
L00845,notary,5,Medium
L00846,undertaking,3,Low
L00848,contract,5,Medium
L00849,bond,2,Low
L00851,non disclosure,5,Medium
L00852,non-disclosure,9,High
L00853,terms and conditions,2,Low
L00854,terms & conditions,7,Medium
L00855,t&c,3,Low
L00856,legal notice,3,Low
L00857,affidavit,9,High
L00858,court,1,Low
L00859,case,1,Low
L00860,lawyer,4,Medium
L00861,attorney,4,Medium
L00862,clause,4,Medium
L00863,deed,9,High
L00864,lease,1,Low
L00865,rental,7,Medium
L00866,jurisdiction,9,High
L00867,liability,6,Medium
L00868,indemnity,6,Medium
L00869,settlement,1,Low
L00870,arbitration,4,Medium
L00871,lawsuit,5,Medium
L00872,litigation,2,Low
L00873,plaintiff,2,Low
L00874,defendant,4,Medium
L00875,verdict,2,Low
L00876,judgment,5,Medium
L00877,witness,7,Medium
L00878,testimony,9,High
L00879,subpoena,6,Medium
L00880,summons,1,Low
L00881,petition,2,Low
L00882,memorandum,10,High
L00883,mou,10,High
L00884,legal document,3,Low
L00885,hereby,3,Low
L00886,whereas,3,Low
L00887,aforementioned,4,Medium
L00888,undersigned,10,High
L00889,party of,6,Medium
L00890,in witness whereof,8,High
L00891,executed,10,High
L00892,notary,4,Medium
L00893,undertaking,1,Low
L00895,contract,3,Low
L00896,bond,3,Low
L00898,non disclosure,6,Medium
L00899,non-disclosure,4,Medium
L00900,terms and conditions,7,Medium
L00901,terms & conditions,10,High
L00902,t&c,8,High
L00903,legal notice,5,Medium
L00904,affidavit,9,High
L00905,court,2,Low
L00906,case,4,Medium
L00907,lawyer,9,High
L00908,attorney,6,Medium
L00909,clause,5,Medium
L00910,deed,2,Low
L00911,lease,5,Medium
L00912,rental,4,Medium
L00913,jurisdiction,5,Medium
L00914,liability,9,High
L00915,indemnity,8,High
L00916,settlement,3,Low
L00917,arbitration,6,Medium
L00918,lawsuit,10,High
L00919,litigation,10,High
L00920,plaintiff,9,High
L00921,defendant,10,High
L00922,verdict,1,Low
L00923,judgment,1,Low
L00924,witness,8,High
L00925,testimony,1,Low
L00926,subpoena,9,High
L00927,summons,1,Low
L00928,petition,7,Medium
L00929,memorandum,7,Medium
L00930,mou,8,High
L00931,legal document,4,Medium
L00932,hereby,10,High
L00933,whereas,1,Low
L00934,aforementioned,5,Medium
L00935,undersigned,7,Medium
L00936,party of,1,Low
L00937,in witness whereof,9,High
L00938,executed,2,Low
L00939,notary,8,High
L00940,undertaking,10,High
L00942,contract,6,Medium
L00943,bond,10,High
L00945,non disclosure,9,High
L00946,non-disclosure,5,Medium
L00947,terms and conditions,3,Low
L00948,terms & conditions,10,High
L00949,t&c,1,Low
L00950,legal notice,10,High
L00951,affidavit,5,Medium
L00952,court,3,Low
L00953,case,4,Medium
L00954,lawyer,8,High
L00955,attorney,3,Low
L00956,clause,6,Medium
L00957,deed,3,Low
L00958,lease,6,Medium
L00959,rental,4,Medium
L00960,jurisdiction,1,Low
L00961,liability,7,Medium
L00962,indemnity,4,Medium
L00963,settlement,9,High
L00964,arbitration,4,Medium
L00965,lawsuit,9,High
L00966,litigation,7,Medium
L00967,plaintiff,5,Medium
L00968,defendant,8,High
L00969,verdict,3,Low
L00970,judgment,2,Low
L00971,witness,7,Medium
L00972,testimony,5,Medium
L00973,subpoena,10,High
L00974,summons,8,High
L00975,petition,8,High
L00976,memorandum,3,Low
L00977,mou,5,Medium
L00978,legal document,5,Medium
L00979,hereby,8,High
L00980,whereas,7,Medium
L00981,aforementioned,5,Medium
L00982,undersigned,2,Low
L00983,party of,1,Low
L00984,in witness whereof,10,High
L00985,executed,8,High
L00986,notary,4,Medium
L00987,undertaking,2,Low
L00989,contract,6,Medium
L00990,bond,2,Low
L00992,non disclosure,1,Low
L00993,non-disclosure,4,Medium
L00994,terms and conditions,4,Medium
L00995,terms & conditions,3,Low
L00996,t&c,8,High
L00997,legal notice,8,High
L00998,affidavit,3,Low
L00999,court,1,Low
L01000,case,7,Medium
L01001,lawyer,8,High
L01002,attorney,4,Medium
L01003,clause,9,High
L01004,deed,10,High
L01005,lease,9,High
L01006,rental,10,High
L01007,jurisdiction,4,Medium
L01008,liability,9,High
L01009,indemnity,7,Medium
L01010,settlement,1,Low
L01011,arbitration,1,Low
L01012,lawsuit,5,Medium
L01013,litigation,10,High
L01014,plaintiff,4,Medium
L01015,defendant,4,Medium
L01016,verdict,8,High
L01017,judgment,9,High
L01018,witness,8,High
L01019,testimony,3,Low
L01020,subpoena,7,Medium
L01021,summons,8,High
L01022,petition,7,Medium
L01023,memorandum,8,High
L01024,mou,5,Medium
L01025,legal document,4,Medium
L01026,hereby,5,Medium
L01027,whereas,3,Low
L01028,aforementioned,10,High
L01029,undersigned,6,Medium
L01030,party of,9,High
L01031,in witness whereof,8,High
L01032,executed,9,High
L01033,notary,3,Low
L01034,undertaking,4,Medium
L01036,contract,4,Medium
L01037,bond,8,High
L01039,non disclosure,1,Low
L01040,non-disclosure,2,Low
L01041,terms and conditions,5,Medium
L01042,terms & conditions,7,Medium
L01043,t&c,3,Low
L01044,legal notice,2,Low
L01045,affidavit,5,Medium
L01046,court,9,High
L01047,case,4,Medium
L01048,lawyer,9,High
L01049,attorney,1,Low
L01050,clause,7,Medium
L01051,deed,3,Low
L01052,lease,10,High
L01053,rental,7,Medium
L01054,jurisdiction,2,Low
L01055,liability,10,High
L01056,indemnity,6,Medium
L01057,settlement,8,High
L01058,arbitration,4,Medium
L01059,lawsuit,7,Medium
L01060,litigation,6,Medium
L01061,plaintiff,1,Low
L01062,defendant,8,High
L01063,verdict,7,Medium
L01064,judgment,7,Medium
L01065,witness,1,Low
L01066,testimony,5,Medium
L01067,subpoena,10,High
L01068,summons,5,Medium
L01069,petition,8,High
L01070,memorandum,2,Low
L01071,mou,8,High
L01072,legal document,2,Low
L01073,hereby,8,High
L01074,whereas,6,Medium
L01075,aforementioned,8,High
L01076,undersigned,1,Low
L01077,party of,2,Low
L01078,in witness whereof,8,High
L01079,executed,2,Low
L01080,notary,10,High
L01081,undertaking,3,Low
L01083,contract,6,Medium
L01084,bond,9,High
L01086,non disclosure,6,Medium
L01087,non-disclosure,9,High
L01088,terms and conditions,10,High
L01089,terms & conditions,9,High
L01090,t&c,8,High
L01091,legal notice,8,High
L01092,affidavit,2,Low
L01093,court,6,Medium
L01094,case,3,Low
L01095,lawyer,8,High
